iter	Passed	Remaining
0	59	5868
1	65	3198
2	71	2300
3	76	1844
4	82	1561
5	87	1370
6	92	1235
7	98	1131
8	103	1049
9	109	986
10	115	934
11	120	886
12	126	845
13	131	809
14	137	780
15	143	752
16	149	727
17	154	703
18	160	683
19	166	667
20	172	650
21	178	632
22	183	615
23	188	598
24	193	579
25	199	566
26	202	548
27	206	531
28	210	516
29	214	501
30	219	487
31	223	474
32	227	462
33	231	449
34	235	437
35	239	426
36	243	415
37	247	404
38	251	393
39	255	382
40	259	373
41	263	363
42	268	355
43	272	346
44	276	338
45	280	329
46	284	320
47	288	312
48	291	303
49	295	295
50	299	287
51	303	279
52	307	272
53	311	265
54	314	257
55	318	250
56	322	243
57	326	236
58	330	229
59	333	222
60	338	216
61	341	209
62	345	202
63	348	196
64	352	189
65	356	183
66	359	177
67	364	171
68	368	165
69	372	159
70	376	153
71	379	147
72	383	141
73	387	136
74	391	130
75	394	124
76	398	119
77	402	113
78	405	107
79	409	102
80	412	96
81	416	91
82	420	86
83	424	80
84	427	75
85	430	70
86	434	64
87	437	59
88	441	54
89	444	49
90	448	44
91	451	39
92	455	34
93	459	29
94	462	24
95	465	19
96	468	14
97	472	9
98	475	4
99	479	0
